epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.4785,0.8098,0.92671,1,0.22207,0.000366936,0.000366936,0.000366936
2,29.1803,0.22919,0.93373,1,0.17869,0.000712939,0.000712939,0.000712939
3,42.2199,0.25753,0.94277,1,0.18918,0.0010345,0.0010345,0.0010345
4,55.0322,0.25689,0.93976,1,0.18434,0.00100101,0.00100101,0.00100101
5,67.5362,0.19817,0.92871,1,0.21327,0.000964348,0.000964348,0.000964348
6,80.002,0.17611,0.95382,1,0.14335,0.000927685,0.000927685,0.000927685
7,92.5312,0.14215,0.96586,1,0.10009,0.000891022,0.000891022,0.000891022
8,105.054,0.12553,0.9739,1,0.09299,0.000854359,0.000854359,0.000854359
9,117.512,0.11538,0.97289,1,0.08584,0.000817696,0.000817696,0.000817696
10,129.924,0.09958,0.97189,1,0.08752,0.000781033,0.000781033,0.000781033
11,142.272,0.09379,0.97691,1,0.07492,0.00074437,0.00074437,0.00074437
12,154.693,0.08245,0.97691,1,0.09605,0.000707707,0.000707707,0.000707707
13,167.23,0.06897,0.97189,1,0.09943,0.000671044,0.000671044,0.000671044
14,179.615,0.06701,0.9739,1,0.12814,0.000634381,0.000634381,0.000634381
15,191.894,0.0757,0.97992,1,0.07779,0.000597718,0.000597718,0.000597718
16,204.351,0.06074,0.96486,1,0.10879,0.000561055,0.000561055,0.000561055
17,216.782,0.05414,0.9749,1,0.09762,0.000524392,0.000524392,0.000524392
18,229.204,0.05517,0.97791,1,0.09516,0.000487729,0.000487729,0.000487729
19,241.649,0.04705,0.9759,1,0.0843,0.000451066,0.000451066,0.000451066
20,253.982,0.04014,0.9739,1,0.10359,0.000414403,0.000414403,0.000414403
21,267.58,0.037,0.9739,1,0.09801,0.00037774,0.00037774,0.00037774
22,280.109,0.03546,0.97791,1,0.08887,0.000341077,0.000341077,0.000341077
23,293.119,0.02947,0.97892,1,0.08551,0.000304414,0.000304414,0.000304414
24,306.141,0.02296,0.98092,1,0.08734,0.000267751,0.000267751,0.000267751
25,319.408,0.02311,0.97791,1,0.08934,0.000231088,0.000231088,0.000231088
26,332.324,0.03262,0.97691,1,0.09405,0.000194425,0.000194425,0.000194425
27,345.169,0.02686,0.9749,1,0.08638,0.000157762,0.000157762,0.000157762
28,358.216,0.02234,0.97791,1,0.08764,0.000121099,0.000121099,0.000121099
29,371.225,0.02534,0.97892,1,0.08392,8.4436e-05,8.4436e-05,8.4436e-05
30,384.192,0.0194,0.9759,1,0.08648,4.7773e-05,4.7773e-05,4.7773e-05
